methods,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
RAW,0.033274235085526,0.027647676480702,0.022164864943548,0.044345539967105,0.044644186408451,0.034133379328947,0.026205141766197,0.02728487170297,0.03710689820297,0.033702217950758,0.026081424217241,0.046793949098684,0.030629341607843,0.053134440835526,0.0673545847375,0.025114880172589,0.040110796638158,0.02194670940273,0.02373063435034,0.027181604717747,0.028744248084906,0.041668349802632,0.028119583736842,0.027260858642652,0.032876027428572,0.037880859098684,0.030941044230263,0.033911261743421,0.022661389303333,0.022746976569072,0.031005822880952,0.033985002696335,0.026371071914573,0.027685426664474,0.025198602986047,0.050133523144737,0.03000664136,0.025768444954129,0.028704288688356,0.027645984516279,0.051070626881579,0.048998926458716,0.018485855837121,0.022831883878947,0.038940354678261,0.032258065722222,0.023666157015958,0.029779198635071,0.041027693770992,0.024405029217736,0.036233805960638,0.032630562960526,0.031136202339823,0.048601988553719,0.051463258026103,0.0351349,0.037629959138158,0.026521864684588,0.041025798024155,0.025065252756579,0.037392336223684,0.029645789078947,0.034178732052632,0.043943101584906,0.033074808198473,0.040736292784038,0.052966675187845,0.056585938894737,0.031587980644737,0.025746521764,0.051253376982397,0.032247967255094,0.035220748223684,0.029346316778572,0.024007182651351,0.044963482625,0.052032360921053,0.020753458300658,0.028959236756364,0.031971081759804,0.034878332763345
SCT,0.035906521381579,0.025350304270176,0.019105693733871,0.042238711197369,0.041873021960081,0.033152922335526,0.026176045705282,0.024294733372277,0.029626845736139,0.035230710034091,0.026717877887241,0.041307423881579,0.030452504336601,0.051967133485526,0.062911407138158,0.020437705460914,0.038216865763158,0.020442634165529,0.020632204018367,0.02636471141338,0.025106478361635,0.037718161161842,0.026634197230263,0.026570425144803,0.033259243979393,0.033649330934211,0.027648135808553,0.032877254723684,0.019606335569524,0.022767099404811,0.028722991259524,0.029312813994241,0.024517114554774,0.028045824039474,0.023390976865116,0.046858786006579,0.02910181899561,0.024988576009174,0.027081058506849,0.027197586818605,0.049183046447368,0.050898307051988,0.018123849575,0.021556430236842,0.036791605263913,0.023647378104167,0.020043327487234,0.028296021345972,0.031317023461832,0.022288249395472,0.033664593953901,0.030213927427632,0.029553800525134,0.04152020273967,0.041071082073529,0.033873896210526,0.048337264327632,0.022778551121792,0.026593800434783,0.02373282631579,0.033292124605263,0.028644172473684,0.030605839335526,0.038977724759434,0.028973014877863,0.039289650103286,0.047757430959834,0.050934935355263,0.031220919572369,0.02371786006,0.042023139237828,0.031944063698113,0.033252748253947,0.028451693257143,0.017077469162162,0.039424979381579,0.049395659684211,0.021202256505263,0.028251610054546,0.025799429888119,0.030255187165481
NCC01,0.014373079184211,0.021354897845395,0.013396326537903,0.034047596861842,0.019017450408451,0.013412066618421,0.010293789842254,0.010396515992739,0.016887970861386,0.025632259895076,0.013409426635172,0.028092215526316,0.013052545122876,0.02285063905,0.027724281956579,0.010349518022843,0.022590263309211,0.011454113697611,0.012075095971429,0.012081981585563,0.014783205004403,0.014078903118421,0.014423671559869,0.014091091219355,0.011471997271429,0.017812389371711,0.014554732006579,0.017192343631579,0.010722311642857,0.013029322612715,0.016986542904762,0.014063577741361,0.012418975582915,0.013548329236184,0.012962209495814,0.023819074230263,0.016602222595122,0.011468988667431,0.01830518205548,0.010630660410791,0.025047600828947,0.019954522358777,0.008465896266667,0.011743916625,0.019307219173044,0.013116993405556,0.010228247428156,0.013376252543649,0.017782072984351,0.01122073167434,0.029838646184397,0.021414291498026,0.013343514719027,0.017367744281818,0.018172533766544,0.017089166533553,0.040394520157895,0.026823035843728,0.012481162965701,0.012847253571803,0.015093146663619,0.014490451230263,0.014388857503947,0.021215132995283,0.016422323225191,0.019773246607512,0.025903745664641,0.021906448138092,0.019218666309211,0.0116092101644,0.020890196019476,0.018430924372076,0.022274529197369,0.010560128882143,0.024769190944955,0.017563118409211,0.024046948644737,0.011405564725658,0.017534230292727,0.026953913176471,0.016795762007118
NCC051,0.016358823282895,0.023625578736842,0.012517174903226,0.032432820837434,0.020437638108099,0.013989512392105,0.010596420973592,0.010641444536964,0.018639088004951,0.025179632090909,0.014497400291379,0.027527251868421,0.01396898646732,0.025089010111842,0.026950946960526,0.011142437504467,0.025919162230263,0.010149879167236,0.01289306740034,0.013922958957747,0.016502110713837,0.015934029819079,0.014115713532895,0.015543762426882,0.012213385976429,0.017782061273684,0.015096935451316,0.018417769339474,0.010951917733333,0.013575549315189,0.016786527917857,0.017351727513089,0.012955057436181,0.014526328644737,0.013605993653023,0.027193954736842,0.018292158760976,0.011053556976147,0.018696643169281,0.01252572260093,0.026822436162281,0.022192339718655,0.008479747858561,0.011896790592105,0.019818737998261,0.013155351833389,0.01027038398617,0.014352483987678,0.018006795707481,0.012220700527925,0.033425039421986,0.021889311355263,0.014864802190266,0.020480756704959,0.019030660513235,0.016568649941447,0.040395147138158,0.025411995701219,0.013894117590821,0.013050704861842,0.017028204339474,0.018026968301316,0.015758783144737,0.021217997014151,0.018692427667977,0.020990837560094,0.025293662940332,0.021169188188816,0.019344248447369,0.0121141262744,0.027062188820225,0.019064793858491,0.024630380022369,0.011536940181429,0.024867583774324,0.0183275085,0.026595761467105,0.011371847742105,0.017261587903636,0.028934283333333,0.017605858435943
MSE051,0.022779444355263,0.024477948868421,0.019264264831452,0.047515655361842,0.03329563040493,0.026943263046053,0.020402493784507,0.020165641919802,0.02714980129703,0.037146922322349,0.021202248625241,0.039361073947369,0.022132525987909,0.039094003585526,0.043747088026316,0.016767356963959,0.033966458572369,0.016663214817406,0.016411908742857,0.017231494793732,0.021669000996855,0.028571406921053,0.019337760452632,0.021936562815842,0.022421187560714,0.02611851398829,0.022937366644737,0.031057012396053,0.018218441996667,0.018583763291753,0.025323203472222,0.02460337536021,0.022534782743719,0.020938704164474,0.021862758818605,0.03975647294079,0.025165117209756,0.018808801249404,0.027742839496233,0.018322801793535,0.039344552298246,0.037421477027523,0.013532629742424,0.02064914811579,0.031112768795652,0.019739645295417,0.018894087056738,0.022645686464455,0.028954090587786,0.02062398614717,0.058279147599291,0.029665609131579,0.023567462721239,0.036104565107438,0.035807120764706,0.028889485789474,0.081519668960526,0.036494649685018,0.021192652405797,0.019827797697369,0.026595095203947,0.023725194375,0.024869658947369,0.037104994665094,0.026892750354962,0.033526468948357,0.039751181483978,0.043183258355263,0.033915712802632,0.017132944742,0.038452695494382,0.027644663260377,0.027396498328947,0.024318869325,0.029927724478378,0.035383356321053,0.035476865375,0.016770204235526,0.025651908383636,0.050357811751471,0.024708250309609
MSE01,0.015461537765132,0.024106947546053,0.012285799688307,0.035466441473684,0.017790135108451,0.012582991755921,0.009418215410951,0.009219773645875,0.017350317389109,0.025793883693182,0.014354601371035,0.033374199368421,0.012835788974837,0.02228470175,0.029287723348684,0.009461336898477,0.020686447348684,0.010971310706826,0.011710119309864,0.012928505825669,0.013134793833019,0.014562086654605,0.013719763424342,0.014192254413979,0.010568262889286,0.015982735755263,0.013182575141447,0.017333672209013,0.011179902792381,0.013297215318557,0.015708782581746,0.017401961413613,0.011406554256282,0.013105818322369,0.011948318250977,0.021711600195395,0.015823723952683,0.010290411490826,0.017245619050343,0.011591292848372,0.023666894916667,0.020340036601529,0.008198216918939,0.011723483256579,0.019650513852174,0.012819854692773,0.01004680614539,0.013042114187204,0.018269544225191,0.010500847809925,0.02780621213156,0.022152285769737,0.012452523602655,0.018868247834298,0.017917416534927,0.015951316613158,0.044484801236842,0.023499740946631,0.012749959537198,0.012868275034211,0.013850646830263,0.015073986473684,0.014271301092105,0.019136079161793,0.017867293912596,0.017070814667136,0.024793170556354,0.020073921211842,0.018805309618421,0.011754757518456,0.023489483651685,0.01744822225283,0.022744397144737,0.009939511275,0.02363258725946,0.01855041231579,0.025177715017763,0.012078164640132,0.016660343806546,0.025963449151961,0.016548596035587
NCC02,0.0169137745,0.02002789127829,0.013358249804839,0.033636655421053,0.018964188401409,0.013511860079605,0.010086274860916,0.010438270912145,0.018095176755446,0.025529696874621,0.013160621007241,0.0288999565125,0.014015110970262,0.023864538502697,0.025010501381579,0.00957294118934,0.022537704368421,0.009906441793515,0.012371238312925,0.011567254401409,0.014993518965409,0.014408217023026,0.0142548677075,0.014028949888889,0.01116257085,0.018884033901316,0.013756702605,0.016488179112566,0.0107709787,0.013663501306529,0.017167001213889,0.013569244581152,0.012553710913568,0.015277326599342,0.0114509644,0.021661209973684,0.015446977822439,0.01061948959633,0.019558571631849,0.011114522741395,0.025786145355263,0.019685275767584,0.008916548064773,0.011808989256579,0.01994963486087,0.012957078725926,0.009469433519858,0.012702009126834,0.01705570436145,0.010772362550566,0.037590097667376,0.020866397828947,0.014052961088938,0.018464197694215,0.018868786124265,0.015439818855263,0.044258440895395,0.025689427329032,0.012628842705314,0.012458974914474,0.013259128355263,0.017019645671053,0.014240135171053,0.021274288320755,0.01538527539313,0.020041293032864,0.026838149064641,0.022879985289474,0.018600242558553,0.0125629902396,0.01932974711236,0.018062062203774,0.022156771223684,0.010827293385714,0.02431696266982,0.020332690157237,0.026716748032895,0.011401066508553,0.017418215778182,0.026347691465196,0.016312569108185
NCC052,0.016873941947369,0.020362182421053,0.013338844402016,0.034905878381579,0.019375776823944,0.015110028111842,0.010605744704894,0.010959036231683,0.018261675773267,0.026178031371099,0.013214888683241,0.029920588839474,0.014302260631046,0.025258905135526,0.02755242469079,0.010316131463959,0.023927626210526,0.010028430536178,0.013178556084354,0.011782031104225,0.015083428615598,0.014215985644737,0.015650794709211,0.014868069385305,0.012149712288572,0.017923695085526,0.013946461683553,0.017780858252434,0.011646063924286,0.014883509576289,0.018366992702381,0.014554184934555,0.012805932611055,0.015992043092105,0.011547576251628,0.022772223234869,0.017208279992195,0.010820700208716,0.020888964277397,0.011637234375349,0.027807637127193,0.021606282593272,0.00908638829697,0.011981136948684,0.020761594034783,0.013814388794445,0.010055253278014,0.013606169345024,0.017762472324428,0.011234109177359,0.038291121719858,0.022211920796053,0.014443770376106,0.018404460120661,0.019834993738603,0.016229680368421,0.04659472525,0.026729869550215,0.0133167630343,0.013038140146711,0.014953125701316,0.0164015353375,0.015892402223684,0.02197924814151,0.016201315720573,0.020830947920657,0.026811536985083,0.022419749697369,0.02017684106579,0.0119349003256,0.018989569183521,0.018289134901132,0.02219065625,0.011333294355,0.024427595748649,0.021970467177632,0.026394183161184,0.011823239006579,0.017829054749091,0.026786846983824,0.01656589577331
MSE02,0.018431507828947,0.024921290788619,0.014123088407258,0.039459617388158,0.021169995510563,0.016493030876316,0.011154348973732,0.011572477634324,0.021108364020297,0.02714185155303,0.015349688424138,0.036094532085526,0.01480024456536,0.023768823151316,0.032383196398684,0.011000624770558,0.022177410203947,0.012635773782935,0.013981331135068,0.014458734699296,0.015312367210692,0.017443886473684,0.017738608605263,0.014815247623656,0.01363658036,0.020010083019737,0.016279810252632,0.01759183419079,0.012722913447619,0.014178294675258,0.018223130019841,0.017076329601571,0.01372223509201,0.01763151746125,0.014491409582651,0.025163034763158,0.019450415517073,0.013330007693578,0.01832550165548,0.012858228948837,0.029859397232456,0.024683075136789,0.008901008643182,0.013314742544079,0.020941232408696,0.015274064549074,0.012023423847837,0.015658229559242,0.020350624189313,0.013294396106604,0.029852780872341,0.021111299743421,0.014416003579646,0.019560193965058,0.020073817868015,0.019163811993421,0.042116214559211,0.024434044469534,0.014833212971353,0.014169423967105,0.016636544509211,0.019908726480263,0.0152342608,0.023896480240094,0.018247612130916,0.021800952363193,0.030037318933702,0.027758163891447,0.021674188868421,0.01529668017932,0.02434056752809,0.021505260029434,0.025252983460526,0.012280326257143,0.023446808926126,0.024158692223684,0.026827826006579,0.013753777039474,0.020197439620364,0.025769892779412,0.018575765688256
MSE052,0.023170400434211,0.024779611078947,0.019387246720968,0.048086387299342,0.034051848496479,0.025724389929605,0.021226706802817,0.020609428461716,0.028632719262376,0.037824550359849,0.022664202513793,0.039710827217105,0.0229433423,0.040096082434211,0.044562887421053,0.017085650137056,0.034427865828947,0.01736370507901,0.016941865562279,0.017596028633803,0.022843428151258,0.032341911796053,0.01988333869079,0.02279270111828,0.022802410508214,0.026979806489474,0.023054525,0.030850704967105,0.017561346519048,0.017808143517629,0.025699838556746,0.025305544623037,0.022808978955779,0.021110668395395,0.021883021693023,0.039624782251974,0.025909704770244,0.019030597019266,0.028169055697603,0.017937564006419,0.041683547894737,0.039420943686025,0.013864052383712,0.020813251689796,0.031758071204348,0.020456434554908,0.019434817656028,0.022585144872038,0.028763197089695,0.021054099973208,0.073547093962766,0.030042763973684,0.02276633290885,0.037925287987603,0.037821881694118,0.028421551834211,0.091715890460526,0.037058391917563,0.021862614748792,0.02040438081579,0.027464058471053,0.023514032301974,0.025136858197369,0.038598042281604,0.028056756160305,0.034262351511737,0.042586275044199,0.042794135546053,0.033988022675658,0.0172651870024,0.03947925939588,0.030100123629811,0.028249417697369,0.02557534615,0.029530385641442,0.032765706947369,0.036590551875,0.016613847776316,0.026431526904727,0.051539319990196,0.025993546790392
